"id","station_id","socket_number","charging_method","connector_type","power"
"18202","7112","SKT/21337","DC","DC_CCS","180"
"18203","7113","SKT/30742","AC","AC_TYPE2","22"
"18204","7114","SKT/30748","AC","AC_TYPE2","21"
"18205","7114","SKT/30750","AC","AC_TYPE2","21"
"18206","7115","SKT/31038","DC","DC_CCS","120"
"18207","7115","SKT/31039","DC","DC_CCS","120"
"18208","7116","SKT/31042","DC","DC_CCS","120"
"18209","7116","SKT/31043","DC","DC_CCS","120"
"18210","7117","SKT/31044","DC","DC_CCS","120"
"18211","7117","SKT/31045","DC","DC_CCS","120"
"18212","7118","SKT/31050","DC","DC_CCS","120"
"18213","7118","SKT/31051","DC","DC_CCS","120"
"18214","7119","SKT/29975","DC","DC_CCS","25"
"18215","7119","SKT/29976","DC","DC_CCS","50"
"18216","7119","SKT/29977","AC","AC_TYPE2","22"
"18217","7119","SKT/31224","DC","DC_CCS","25"
"18218","7119","SKT/31225","AC","AC_TYPE2","22"
"18219","7120","SKT/18832","AC","AC_TYPE2","22"
"18220","7120","SKT/18833","AC","AC_TYPE2","22"
"18221","7120","SKT/18834","AC","AC_TYPE2","22"
"18222","7121","SKT/13436","AC","AC_TYPE2","22"
"18223","7122","SKT/13439","AC","AC_TYPE2","22"
"18224","7122","SKT/13440","AC","AC_TYPE2","22"
"18225","7123","SKT/13447","AC","AC_TYPE2","22"
"18226","7123","SKT/13448","AC","AC_TYPE2","22"
"18227","7124","SKT/13468","AC","AC_TYPE2","22"
"18228","7124","SKT/13469","AC","AC_TYPE2","22"
"18229","7125","SKT/5430","DC","DC_CCS","120"
"18230","7125","SKT/5431","DC","DC_CCS","120"
"18231","7126","SKT/5591","AC","AC_TYPE2","22"
"18232","7127","SKT/10910","AC","AC_TYPE2","22"
"18233","7127","SKT/10911","AC","AC_TYPE2","22"
"18234","7128","SKT/2652","AC","AC_TYPE2","22"
"18235","7128","SKT/2653","AC","AC_TYPE2","22"
"18236","7129","SKT/5244","AC","AC_TYPE2","22"
"18237","7129","SKT/5245","AC","AC_TYPE2","22"
"18238","7130","SKT/5248","AC","AC_TYPE2","22"
"18239","7130","SKT/5249","AC","AC_TYPE2","22"
"18240","7131","SKT/5252","AC","AC_TYPE2","22"
"18241","7132","SKT/8434","AC","AC_TYPE2","22"
"18242","7132","SKT/8435","AC","AC_TYPE2","22"
"18243","7133","SKT/8701","AC","AC_TYPE2","22"
