"id","name","short_name"
"146","sunlight","MYWEST İNŞAAT TURİZM GIDA TARIM HAYVANCILIK REKLAM EĞİTİM TEKSTİL MEDİKAL SANAYİ VE TİCARET LTD.ŞTİ."
"147","SWAPP","DUMANOĞLU ENERJİ YATIRIM ANONİM ŞİRKETİ"
"148","TELLİGRUP","QUICK ENERJİ ANONİM ŞİRKETİ"
"149","TESLA","TESLA MOTORLARI SATIŞ VE HİZMETLERİ LİMİTED ŞİRKETİ"
"150","TOGER","MİONTİ ENERJİ VE TEKNOLOJİ ANONİM ŞİRKETİ"
"151","TORA","TORA TEKNİK HİZMETLER İŞLETME ANONİM ŞİRKETİ"
"152","Tripy","TRİPY MOBİLİTY TEKNOLOJİ ANONİM ŞİRKETİ"
"153","Trugo","TRUGO AKILLI ŞARJ ÇÖZÜMLERİ SANAYİ VE TİCARET ANONİM ŞİRKETİ"
"154","tunçmatik","TUNÇMATİK ŞARJ TEKNOLOJİLERİ ANONİM ŞİRKETİ"
"155","TÜRKŞARJ","ENERJİTURK ENERJİ YATIRIM ANONİM ŞİRKETİ"
"156","turuncu mühendislik","TURUNCU MÜHENDİSLİK ELEKTRİK TAAH.SAN.VE DIŞ TİC. LTD. ŞTİ."
"157","TÜVTURK","TÜVTURK KUZEY TAŞIT MUAYENE İSTASYONLARI YAPIM VE İŞLETİM ANONİM ŞİRKETİ"
"158","U-ŞARJ","TCDD TEKNİK MÜHENDİSLİK VE MÜŞAVİRLİK ANONİM ŞİRKETİ"
"159","VALE","ULTRAMETRİK ENERJİ BİLGİSAYAR İNŞAAT KUYUMCULUK GIDA SANAYİ VE DIŞ TİCARET LİMİTED ŞİRKETİ"
"160","varr TM","DESA ENERJİ ELEKTRİK ÜRETİM ANONİM ŞİRKETİ"
"161","vilampo","VİTALEN ENERJİ ANONİM ŞİRKETİ"
"162","VİZYONEKS","VİZYONEKS BİLGİ TEKNOLOJİLERİ ANONİM ŞİRKETİ"
"163","volti","VOLNET ENERJİ SİSTEMLERİ SANAYİ TİCARET ANONİM ŞİRKETİ"
"164","VOLTPO","VOLTGO ŞARJ HİZMETLERİ ANONİM ŞİRKETİ"
"165","VOLTRUN","VOLTRUN ENERJİ ANONİM ŞİRKETİ"
"166","WAT","WAT MOBİLİTE ÇÖZÜMLERİ TEKNOLOJİ VE TİCARET ANONİM ŞİRKETİ"
"167","Wattarya","WATTARYA ENERJİ SANAYİ VE TİCARET ANONİM ŞİRKETİ"
"168","WATTREISE","SANTA SOLAR ENERJİ LİMİTED ŞİRKETİ"
"169","XŞARJ","ART IN SYSTEMS BİLİŞİM TEKNOLOJİLERİ TİCARET LİMİTED ŞİRKETİ"
"170","ZEPLİN CAR rental","ZEPLİN TURİZM TAŞIMACILIK YATIRIM SANAYİ VE TİCARET LİMİTED ŞİRKETİ"
"171","zes","ZES DİJİTAL TİCARET ANONİM ŞİRKETİ"
"172","Ziraat İYGG","ZİRAAT İŞLETME YÖNETİMİ VE GAYRİMENKUL GELİŞTİRME ANONİM ŞİRKETİ"
