"id","station_number","city_id","district_id","station_name","address","is_private","brand_id","latitude","longitude"
"5457","ŞRJ/2099",,,"ŞARJON SAY ELEKTROMEKANİK","Şerifali Mahallesi Mevdudi Sokağı  No:NO:9/OTOMAT Ümraniye / İSTANBUL","0","135","41.0025114","29.1503384"
"5458","ŞRJ/2375",,,"ASTORŞARJ MESA CADDE ELEKTRİKLİ ARAÇ ŞARJ İSTASYONU","Feyzullah Mahallesi Bağdat Sokağı Maltepe / İSTANBUL","0","17","41.0082376","28.9783589"
"5459","ŞRJ/76",,,"Koluman - Göztepe, İstanbul","Göztepe Mahallesi Bağdat Caddesi  No:243/a Kadıköy / İSTANBUL","0","56","40.9710653","29.0612829"
"5460","ŞRJ/77",,,"Mengerler, Bostancı","İçerenköy Mahallesi Değirmen Yolu Caddesi  No:28 Ataşehir / İSTANBUL","0","56","40.961777","29.1104921"
"5461","ŞRJ/80",,,"Renault Demirkollar, İstanbul","Altunizade Mahallesi Mahir İz Caddesi  No:19/1 Üsküdar / İSTANBUL","0","56","41.0217308","29.0398501"
"5462","ŞRJ/1462",,,"Otostat, Sancaktepe, İstanbul","Eyüp Sultan Mahallesi Yadigar Sokağı  No:38 Sancaktepe / İSTANBUL","0","56","40.9810392","29.2136422"
"5463","ŞRJ/1464",,,"Carrefoursa, Ömerli","Ömerli Mahallesi Kadirova Caddesi  No:1/1 Çekmeköy / İSTANBUL","0","56","41.078153","29.331622"
"5464","ŞRJ/2268",,,"BMW Türkiye, Akasya AVM","Acıbadem Mahallesi Menekşem Sokağı  No:25 Üsküdar / İSTANBUL","0","56","41.001547","29.0561072"
"5465","ŞRJ/2270",,,"Palladium AVM, Ataşehir","Barbaros Mahallesi Halk Sokağı  No:8 Ataşehir / İSTANBUL","0","56","40.985828","29.099743"
"5466","ŞRJ/2271",,,"Öztek Motorlu Araçlar, Ümraniye","Fatih Sultan Mehmet Mahallesi Balkan Sokağı  No:56 Ümraniye / İSTANBUL","0","56","40.99636","29.1820186"
"5467","ŞRJ/2273",,,"OZTEK-SANCAKTEPE-2","Meclis Mahallesi Semih Sancar Caddesi  No:89 Pendik / İSTANBUL","0","56","41.0135878","29.1978794"
"5468","ŞRJ/2276",,,"Koluman, Göztepe","Göztepe Mahallesi Bağdat Sokağı  No:243 Kadıköy / İSTANBUL","0","56","40.9710653","29.0612829"
"5469","ŞRJ/2277",,,"Koluman, Samandıra","Fatih Mahallesi Yakacık Sokağı  No:33 Sancaktepe / İSTANBUL","0","56","40.9651181","29.2172839"
"5470","ŞRJ/2513",,,"Öztek Motorlu Araçlar (Bileşik Platform), Sancaktepe","Eyüp Sultan Mahallesi Gülbirişim Caddesi  No:6 Sancaktepe / İSTANBUL","0","56","40.987227","29.2027048"
"5471","ŞRJ/2551",,,"The Green Park Hotel, Pendik","Kaynarca Mahallesi Erol Kaya Caddesi  No:207 Pendik / İSTANBUL","0","56","40.872657","29.251282"
"5472","ŞRJ/2646",,,"Deniz Otomotiv, Kadıköy","Sahrayıcedit Mahallesi Batman Sokağı  No:30 Kadıköy / İSTANBUL","0","56","40.9887734","29.0823975"
"5473","ŞRJ/2772",,,"Yüzbaşıoğlu Otomotiv, Çekmeköy","Ekşioğlu Mahallesi Ulusal Caddesi  No:1 Çekmeköy / İSTANBUL","0","56","41.0274938","29.2366416"
"5474","ŞRJ/2958",,,"RS Otomotiv, Maltepe","Cevizli Mahallesi Tugay Yolu Caddesi  No:59 Maltepe / İSTANBUL","0","56","40.9175525","29.1583642"
